v8-version,7,8,279,23,-node.46,0
shared-library,/home/franco/.nvm/versions/node/v12.22.1/bin/node,0x400000,0x2ab5000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f431ef88000,0x7f431f16f000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f431f379000,0x7f431f393000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f431f598000,0x7f431f5af000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f431f7b0000,0x7f431f94d000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f431fb4e000,0x7f431fcc7000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f431fed7000,0x7f431feda000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f43200db000,0x7f4320104000,0
shared-library,[vdso],0x7ffe764a2000,0x7ffe764a3000,0
profiler,begin,1000
code-creation,Builtin,3,4563,0x138c420,1634,RecordWrite
code-creation,Builtin,3,4596,0x138caa0,457,EphemeronKeyBarrier
code-creation,Builtin,3,4609,0x138cc80,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,4618,0x138ccc0,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,4628,0x138ce00,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4638,0x138cee0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4650,0x138d000,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,4656,0x138d120,130,CallBoundFunction
code-creation,Builtin,3,4660,0x138d1c0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4665,0x138d240,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4670,0x138d2c0,105,Call_ReceiverIsAny
code-creation,Builtin,3,4674,0x138d340,890,CallProxy
code-creation,Builtin,3,4678,0x138d6c0,78,CallVarargs
code-creation,Builtin,3,4682,0x138d720,996,CallWithSpread
code-creation,Builtin,3,4692,0x138db20,990,CallWithArrayLike
code-creation,Builtin,3,4697,0x138df00,103,CallForwardVarargs
code-creation,Builtin,3,4701,0x138df80,103,CallFunctionForwardVarargs
code-creation,Builtin,3,4706,0x138e000,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,4711,0x138e0a0,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,4716,0x138e1c0,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,4722,0x138e340,26,ConstructFunction
code-creation,Builtin,3,4728,0x138e360,130,ConstructBoundFunction
code-creation,Builtin,3,4732,0x138e400,28,ConstructedNonConstructable
code-creation,Builtin,3,4737,0x138e420,86,Construct
code-creation,Builtin,3,4742,0x138e480,78,ConstructVarargs
code-creation,Builtin,3,4747,0x138e4e0,1020,ConstructWithSpread
code-creation,Builtin,3,4752,0x138e8e0,1076,ConstructWithArrayLike
code-creation,Builtin,3,4760,0x138ed20,142,ConstructForwardVarargs
code-creation,Builtin,3,4772,0x138edc0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,4782,0x138ee60,328,JSConstructStubGeneric
code-creation,Builtin,3,4792,0x138efc0,244,JSBuiltinsConstructStub
code-creation,Builtin,3,4800,0x138f0c0,943,FastNewObject
code-creation,Builtin,3,4808,0x138f480,301,FastNewClosure
code-creation,Builtin,3,4818,0x138f5c0,213,FastNewFunctionContextEval
code-creation,Builtin,3,4826,0x138f6a0,213,FastNewFunctionContextFunction
code-creation,Builtin,3,4830,0x138f780,258,CreateRegExpLiteral
code-creation,Builtin,3,4835,0x138f8a0,586,CreateEmptyArrayLiteral
code-creation,Builtin,3,4840,0x138fb00,1188,CreateShallowArrayLiteral
code-creation,Builtin,3,4844,0x138ffc0,1718,CreateShallowObjectLiteral
code-creation,Builtin,3,4849,0x1390680,866,ConstructProxy
code-creation,Builtin,3,4853,0x1390a00,188,JSEntry
code-creation,Builtin,3,4857,0x1390ac0,188,JSConstructEntry
code-creation,Builtin,3,4861,0x1390b80,188,JSRunMicrotasksEntry
code-creation,Builtin,3,4866,0x1390c40,98,JSEntryTrampoline
code-creation,Builtin,3,4870,0x1390cc0,98,JSConstructEntryTrampoline
code-creation,Builtin,3,4875,0x1390d40,310,ResumeGeneratorTrampoline
code-creation,Builtin,3,4880,0x1390e80,721,StringCharAt
code-creation,Builtin,3,4884,0x1391160,890,StringCodePointAt
code-creation,Builtin,3,4888,0x13914e0,1433,StringFromCodePointAt
code-creation,Builtin,3,4893,0x1391a80,580,StringEqual
code-creation,Builtin,3,4898,0x1391ce0,288,StringGreaterThan
code-creation,Builtin,3,4912,0x1391e20,288,StringGreaterThanOrEqual
code-creation,Builtin,3,4918,0x1391f60,1234,StringIndexOf
code-creation,Builtin,3,4922,0x1392440,288,StringLessThan
code-creation,Builtin,3,4929,0x1392580,288,StringLessThanOrEqual
code-creation,Builtin,3,5342,0x13926c0,3376,StringSubstring
code-creation,Builtin,3,5348,0x1393400,120,OrderedHashTableHealIndex
code-creation,Builtin,3,5354,0x1393480,851,InterpreterEntryTrampoline
code-creation,Builtin,3,5359,0x13937e0,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,5365,0x1393840,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,5371,0x13938a0,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,5377,0x1393900,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,5382,0x1393960,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,5388,0x13939c0,84,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,5394,0x1393a20,197,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,5399,0x1393b00,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,5404,0x1393b60,63,InterpreterOnStackReplacement
code-creation,Builtin,3,5410,0x1393ba0,1101,CompileLazy
code-creation,Builtin,3,5414,0x1394000,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,5420,0x1394060,177,InstantiateAsmJs
code-creation,Builtin,3,5424,0x1394120,32,NotifyDeoptimized
code-creation,Builtin,3,5430,0x1394160,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,5435,0x13941a0,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,5441,0x13941e0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,5447,0x1394220,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,7911,0x1394280,287,CallApiCallback
code-creation,Builtin,3,7941,0x13943a0,269,CallApiGetter
code-creation,Builtin,3,7947,0x13944c0,12,HandleApiCall
code-creation,Builtin,3,7954,0x13944e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,7959,0x1394500,12,HandleApiCallAsConstructor
code-creation,Builtin,3,7965,0x1394520,92,AllocateInYoungGeneration
code-creation,Builtin,3,7970,0x1394580,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,7975,0x13945e0,92,AllocateInOldGeneration
code-creation,Builtin,3,7980,0x1394640,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,7986,0x13946a0,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,7991,0x13948a0,583,GrowFastDoubleElements
code-creation,Builtin,3,7996,0x1394b00,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,8002,0x1394ce0,453,NewArgumentsElements
code-creation,Builtin,3,8009,0x1394ec0,496,DebugBreakTrampoline
code-creation,Builtin,3,8015,0x13950c0,141,FrameDropperTrampoline
code-creation,Builtin,3,8021,0x1395160,45,HandleDebuggerStatement
code-creation,Builtin,3,8027,0x13951a0,282,ToObject
code-creation,Builtin,3,8032,0x13952c0,104,ToBoolean
code-creation,Builtin,3,8037,0x1395340,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,8044,0x1395460,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,8050,0x1395580,219,NonPrimitiveToPrimitive_Default
